file1,file2,co_changes
eUML,required,7
eUML,plugins.txt,7
eUML,Model,4
eUML,tests.launch,4
required,eUML,7
required,plugins.txt,7
plugins.txt,eUML,7
plugins.txt,required,7
after,import,4
after,of,4
after,mainargojava.png,4
after,use,4
after,case,4
after,still,4
after,in,4
after,nav,4
after,pane,4
after,deletion.png,4
import,after,4
import,of,4
import,mainargojava.png,4
of,after,4
of,import,4
of,mainargojava.png,4
of,Copy,8
of,ico_favorites.gif,4
of,ico_favorites_over.gif,4
mainargojava.png,after,4
mainargojava.png,import,4
mainargojava.png,of,4
assciaton,links,4
assciaton,poorly,4
assciaton,matched.png,4
links,assciaton,4
links,poorly,4
links,matched.png,4
poorly,assciaton,4
poorly,links,4
poorly,matched.png,4
matched.png,assciaton,4
matched.png,links,4
matched.png,poorly,4
build,error.jpg,4
error.jpg,build,4
cannot,access,4
cannot,end,4
cannot,data.png,4
cannot,save,4
cannot,graphics.png,4
access,cannot,4
access,end,4
access,data.png,4
end,cannot,4
end,access,4
end,data.png,4
data.png,cannot,4
data.png,access,4
data.png,end,4
save,cannot,4
save,graphics.png,4
save,space,2
save,in,2
save,work,2
save,area.png,2
graphics.png,cannot,4
graphics.png,save,4
cant,select,4
cant,arrows,4
cant,on,4
cant,object,4
cant,in,4
cant,seq.png,4
select,cant,4
select,arrows,4
select,on,4
select,object,4
select,in,4
select,seq.png,4
arrows,cant,4
arrows,select,4
arrows,on,4
arrows,object,4
arrows,in,4
arrows,seq.png,4
on,cant,4
on,select,4
on,arrows,4
on,object,4
on,in,4
on,seq.png,4
object,cant,4
object,select,4
object,arrows,4
object,on,4
object,in,4
object,seq.png,4
object,use,4
object,case,4
object,behavior.jpg,4
in,cant,4
in,select,4
in,arrows,4
in,on,4
in,object,4
in,seq.png,4
in,class_diagram_name,4
in,does,4
in,not,4
in,appear,4
in,top,4
in,right,4
in,corner.png,4
in,use,4
in,case,4
in,still,4
in,nav,4
in,pane,4
in,after,4
in,deletion.png,4
in,save,2
in,space,2
in,work,2
in,area.png,2
seq.png,cant,4
seq.png,select,4
seq.png,arrows,4
seq.png,on,4
seq.png,object,4
seq.png,in,4
class_diagram_name,does,4
class_diagram_name,not,4
class_diagram_name,appear,4
class_diagram_name,in,4
class_diagram_name,top,4
class_diagram_name,right,4
class_diagram_name,corner.png,4
does,class_diagram_name,4
does,not,18
does,appear,4
does,in,4
does,top,4
does,right,4
does,corner.png,4
does,constraint,4
does,name,8
does,appear.png,4
does,delete,4
does,work.png,4
does,show,6
does,diagram,4
does,dependably.png,4
does,named,2
does,link,2
does,connections.png,2
not,class_diagram_name,4
not,does,18
not,appear,4
not,in,4
not,top,4
not,right,4
not,corner.png,4
not,constraint,4
not,name,8
not,appear.png,4
not,delete,4
not,work.png,4
not,show,6
not,diagram,4
not,dependably.png,4
not,named,2
not,link,2
not,connections.png,2
appear,class_diagram_name,4
appear,does,4
appear,not,4
appear,in,4
appear,top,4
appear,right,4
appear,corner.png,4
top,class_diagram_name,4
top,does,4
top,not,4
top,appear,4
top,in,4
top,right,4
top,corner.png,4
right,class_diagram_name,4
right,does,4
right,not,4
right,appear,4
right,in,4
right,top,4
right,corner.png,4
corner.png,class_diagram_name,4
corner.png,does,4
corner.png,not,4
corner.png,appear,4
corner.png,in,4
corner.png,top,4
corner.png,right,4
configsysforenvironmental,space.png,4
space.png,configsysforenvironmental,4
confusing,link,4
confusing,names.png,4
link,confusing,4
link,names.png,4
link,named,2
link,does,2
link,not,2
link,show,2
link,connections.png,2
names.png,confusing,4
names.png,link,4
constraint,name,4
constraint,does,4
constraint,not,4
constraint,appear.png,4
name,constraint,4
name,does,8
name,not,8
name,appear.png,4
name,show,4
name,diagram,4
name,dependably.png,4
appear.png,constraint,4
appear.png,name,4
appear.png,does,4
appear.png,not,4
delete,does,4
delete,not,4
delete,work.png,4
work.png,delete,4
work.png,does,4
work.png,not,4
show,does,6
show,not,6
show,diagram,4
show,name,4
show,dependably.png,4
show,named,2
show,link,2
show,connections.png,2
diagram,does,4
diagram,not,4
diagram,show,4
diagram,name,4
diagram,dependably.png,4
dependably.png,does,4
dependably.png,not,4
dependably.png,show,4
dependably.png,diagram,4
dependably.png,name,4
use,case,8
use,object,4
